utc,session,claims,documents,sources,seconds
2026-08-06T09:38:10Z,1,14,6,1,135
2026-08-06T09:40:02Z,2,23,9,2,112
2026-08-06T09:42:31Z,3,34,10,3,149
2026-08-06T09:46:02Z,4,43,12,4,211
2026-08-06T09:49:34Z,5,53,15,5,212
2026-08-06T09:53:29Z,6,63,16,6,179
2026-08-06T09:55:45Z,7,80,19,7,136
2026-08-06T09:58:10Z,8,95,20,8,145
2026-08-06T10:00:29Z,9,110,22,9,139
2026-08-06T10:03:58Z,10,122,23,10,141
2026-08-06T10:06:23Z,11,132,25,11,145
2026-08-06T10:09:10Z,12,142,27,12,167
2026-08-06T10:11:52Z,13,158,31,13,162
2026-08-06T10:13:59Z,14,178,34,14,127
2026-08-06T10:16:21Z,15,190,34,15,106
2026-08-06T10:18:28Z,16,205,35,16,127
2026-08-06T10:20:24Z,17,221,37,17,116
2026-08-06T10:22:08Z,18,232,37,18,104
2026-08-06T10:25:07Z,19,243,38,19,150
